OID_,DM,date,STATE_NAME,STATE_ABBR,Shape_Length,Shape_Area,Acres
259,0,2012-01-03,Arkansas,AR,6.815851194,1.316815338,3350208
260,0,2012-01-03,Arizona,AZ,37.65175763,6.700293214,16738889
261,0,2012-01-03,California,CA,32.0366097,9.825611903,24022059
262,0,2012-01-03,Colorado,CO,18.24654987,2.703171384,6431818
263,0,2012-01-03,Florida,FL,81.00800349,8.502182197,22867746
264,0,2012-01-03,Georgia,GA,4.951939885,0.381598038,966087
265,0,2012-01-03,Hawaii,HI,7.640937353,0.125676596,358362
266,0,2012-01-03,Iowa,IA,10.30978497,1.383128647,3129600
267,0,2012-01-03,Idaho,ID,18.14072854,7.060176712,15646077
268,0,2012-01-03,Kansas,KS,21.22733225,2.280291245,5460393
269,0,2012-01-03,Louisiana,LA,9.529617941,1.275075448,3314170
270,0,2012-01-03,Michigan,MI,8.61504513,2.038785637,4303855
271,0,2012-01-03,Minnesota,MN,30.77001315,10.73051041,22526976
272,0,2012-01-03,Missouri,MO,4.162474448,0.824702429,2015286
273,0,2012-01-03,Mississippi,MS,7.752737735,0.769036562,2001882
274,0,2012-01-03,Montana,MT,8.388799179,2.95407599,6202429
275,0,2012-01-03,North Carolina,NC,41.29877043,2.634669976,6538208
276,0,2012-01-03,North Dakota,ND,24.2160216,19.85293159,41144329
277,0,2012-01-03,Nebraska,NE,15.47111856,3.145878287,7181011
278,0,2012-01-03,New Hampshire,NH,0.78607979,0.004545902,9951
279,0,2012-01-03,New Mexico,NM,12.01121327,1.180260392,2931366
280,0,2012-01-03,Nevada,NV,24.91242004,14.58592623,34566623
281,0,2012-01-03,New York,NY,3.96275364,0.729536836,1603946
282,0,2012-01-03,Oklahoma,OK,11.59686414,1.152810614,2874047
283,0,2012-01-03,Oregon,OR,24.08487506,14.68030157,32254169
284,0,2012-01-03,South Carolina,SC,8.836871022,0.954327779,2396968
285,0,2012-01-03,South Dakota,SD,28.39232726,8.65482803,18759368
286,0,2012-01-03,Texas,TX,15.27272365,1.447534743,3656129
287,0,2012-01-03,Utah,UT,14.97533944,2.507260911,5969082
288,0,2012-01-03,Virginia,VA,22.71764813,0.453424348,1108849
289,0,2012-01-03,Vermont,VT,4.057800995,0.587551606,1287889
290,0,2012-01-03,Washington,WA,13.47315464,9.74553653,20245354
291,0,2012-01-03,Wisconsin,WI,18.2561907,6.953990907,14903335
292,0,2012-01-03,Wyoming,WY,0.97711799,0.046790546,101561
293,0,2017-01-03,Alaska,AK,134.6054474,27.90827464,40079418
294,0,2017-01-03,Alabama,AL,9.571887015,1.138814779,2948976
295,0,2017-01-03,Arkansas,AR,29.45317386,4.60995026,11551419
296,0,2017-01-03,Arizona,AZ,31.35667182,10.54741821,26671680
297,0,2017-01-03,California,CA,29.97899926,6.068083257,14481699
298,0,2017-01-03,Colorado,CO,26.42158252,8.71843806,20595920
299,0,2017-01-03,Delaware,DE,2.973631036,0.23718385,562288
300,0,2017-01-03,Florida,FL,106.8482987,10.67639529,28634347
301,0,2017-01-03,Georgia,GA,23.33644191,2.200999087,5705641
302,0,2017-01-03,Hawaii,HI,6.977117725,0.135596169,385867
303,0,2017-01-03,Iowa,IA,8.158241357,2.172515092,5008922
304,0,2017-01-03,Idaho,ID,14.34394086,2.424984883,5337202
305,0,2017-01-03,Illinois,IL,23.1752747,4.364524222,10247923
306,0,2017-01-03,Indiana,IN,12.48757911,2.344292837,5518580
307,0,2017-01-03,Kansas,KS,19.1618034,11.42110731,27381198
308,0,2017-01-03,Kentucky,KY,8.797595546,0.685034634,1678109
309,0,2017-01-03,Louisiana,LA,20.91726594,2.943428444,7646168
310,0,2017-01-03,Massachusetts,MA,1.955057823,0.025220014,57892
311,0,2017-01-03,Maryland,MD,27.2069713,0.881274131,2087506
312,0,2017-01-03,Maine,ME,16.91870047,1.28826668,2759129
313,0,2017-01-03,Missouri,MO,32.22388432,11.73791717,28053744
314,0,2017-01-03,Mississippi,MS,15.54472817,2.387244999,6163053
315,0,2017-01-03,Montana,MT,35.72137704,9.342306981,19657387
316,0,2017-01-03,North Carolina,NC,11.43419891,2.036250894,5041655
317,0,2017-01-03,North Dakota,ND,5.272625607,1.315543837,2771889
318,0,2017-01-03,Nebraska,NE,25.0424312,8.287207425,18969372
319,0,2017-01-03,New Hampshire,NH,3.893185553,0.440198434,963173
320,0,2017-01-03,New Jersey,NJ,13.77774719,0.560122688,1322347
321,0,2017-01-03,New Mexico,NM,34.38983332,9.16170274,22970547
322,0,2017-01-03,Nevada,NV,24.33146132,8.809806361,20863767
323,0,2017-01-03,New York,NY,25.57558057,5.793373873,12952848
324,0,2017-01-03,Ohio,OH,6.213668006,1.343603308,3125778
325,0,2017-01-03,Oklahoma,OK,21.06841377,2.00571935,4997382
326,0,2017-01-03,Oregon,OR,18.4616176,8.211444097,18236811
327,0,2017-01-03,Pennsylvania,PA,15.64875284,3.667595306,8467496
328,0,2017-01-03,South Carolina,SC,26.79478756,3.24212965,8262967
329,0,2017-01-03,South Dakota,SD,12.00218397,2.89207865,6299490
330,0,2017-01-03,Tennessee,TN,24.37062506,4.281696132,10586264
331,0,2017-01-03,Texas,TX,58.02149244,8.013222924,20670638
332,0,2017-01-03,Utah,UT,21.43809991,8.888266211,20967520
333,0,2017-01-03,Virginia,VA,22.21761241,5.85735685,14181651
334,0,2017-01-03,Vermont,VT,6.401289405,0.883098633,1932556
335,0,2017-01-03,West Virginia,WV,9.369867351,0.971996404,2307384
336,0,2017-01-03,Wyoming,WY,20.86900837,6.493422812,14670454
337,0,2000-01-04,Alabama,AL,17.48956597,6.626493986,17178656
338,0,2000-01-04,Arkansas,AR,15.12484081,6.556906299,16384245
339,0,2000-01-04,Arizona,AZ,18.1349298,17.27283408,44117221
340,0,2000-01-04,California,CA,44.62903198,19.86691747,48723530
341,0,2000-01-04,Colorado,CO,4.592414337,0.912389875,2117553
342,0,2000-01-04,Florida,FL,50.61363372,4.402024735,11666681
343,0,2000-01-04,Iowa,IA,8.326094197,1.980394857,4435694
344,0,2000-01-04,Illinois,IL,15.84590321,4.054110375,9700328
345,0,2000-01-04,Indiana,IN,4.525498669,0.441763322,1062560
346,0,2000-01-04,Kansas,KS,20.06486291,10.62051284,25345205
347,0,2000-01-04,Kentucky,KY,8.330254981,1.804605809,4397380
348,0,2000-01-04,Louisiana,LA,105.4337598,2.646620951,6989454
349,0,2000-01-04,Michigan,MI,5.409834173,0.076783085,173729
350,0,2000-01-04,Minnesota,MN,28.14652677,20.17375375,42505663
351,0,2000-01-04,Missouri,MO,21.8314983,11.91791137,28519820
352,0,2000-01-04,Mississippi,MS,15.22711924,6.238971582,16163476
353,0,2000-01-04,Montana,MT,0.783869671,0.005878149,11856
354,0,2000-01-04,North Carolina,NC,7.407643436,3.074688035,7625722
355,0,2000-01-04,North Dakota,ND,24.96797691,21.61321435,44773104
356,0,2000-01-04,Nebraska,NE,15.1073197,9.012148076,20571097
357,0,2000-01-04,New Mexico,NM,19.77298268,13.40988211,34308705
358,0,2000-01-04,Nevada,NV,10.96269893,7.280386425,16982280
359,0,2000-01-04,Ohio,OH,7.329979832,0.169222213,396050
360,0,2000-01-04,Oklahoma,OK,20.67675516,3.514922033,8730931
361,0,2000-01-04,Oregon,OR,4.148520865,0.45217386,1026200
362,0,2000-01-04,South Carolina,SC,18.84761767,3.486492031,8846876
363,0,2000-01-04,South Dakota,SD,19.67970291,18.32606751,39947710
364,0,2000-01-04,Tennessee,TN,7.947068162,1.069359407,2640713
365,0,2000-01-04,Texas,TX,62.07121138,15.65249195,40113531
366,0,2000-01-04,Virginia,VA,8.735093814,3.356572116,8156515
367,0,2000-01-04,Wisconsin,WI,11.14367135,5.444715615,12092796
368,0,2000-01-04,West Virginia,WV,8.250647994,2.489649131,5972142
369,0,2005-01-04,Arizona,AZ,11.28753624,2.499090256,6364182
370,0,2005-01-04,California,CA,25.69713131,9.491184575,23371140
371,0,2005-01-04,Colorado,CO,26.13505529,10.25648885,24471689
372,0,2005-01-04,Florida,FL,31.81688415,1.98552368,5434663
373,0,2005-01-04,Hawaii,HI,1.944206199,0.169638321,486076
374,0,2005-01-04,Iowa,IA,12.96628475,5.861561136,13398027
375,0,2005-01-04,Idaho,ID,10.75289882,1.64420668,3592216
376,0,2005-01-04,Kansas,KS,16.16194901,4.891678083,11566229
377,0,2005-01-04,Minnesota,MN,12.8807493,8.814131767,19040383
378,0,2005-01-04,Missouri,MO,7.159273337,1.561668515,3649833
379,0,2005-01-04,Montana,MT,23.63826738,7.714392727,15746047
380,0,2005-01-04,North Dakota,ND,15.05802392,5.770844657,11816259
381,0,2005-01-04,Nebraska,NE,18.55457995,4.227283862,9752372
382,0,2005-01-04,New Mexico,NM,14.6179763,2.590153444,6534187
383,0,2005-01-04,Nevada,NV,17.00521467,3.266586086,7841584
384,0,2005-01-04,Oregon,OR,23.78398624,6.325129813,13852502
385,0,2005-01-04,South Dakota,SD,15.73732267,4.2774474,9381158
386,0,2005-01-04,Texas,TX,0.828519781,0.027536971,71364
387,0,2005-01-04,Utah,UT,10.12973075,5.504478516,13210598
388,0,2005-01-04,Washington,WA,11.74338279,7.819680162,16388479
389,0,2005-01-04,Wyoming,WY,6.764539524,1.139882835,2616468
390,0,2011-01-04,Alaska,AK,448.7679944,50.73068938,78789502
391,0,2011-01-04,Alabama,AL,22.51523844,2.361148536,6036673
